Year,SB
1952,2313998.325
1953,2332539.4625
1954,2348684.1
1955,2357247.3125
1956,2427748.3875
1957,2623793.1125
1958,2624235.6375
1959,2452238.1125
1960,2304540.525
1961,2259886.1875
1962,2093016.1875
1963,1950344.2125
1964,1800740.8625
1965,1705303.675
1966,1627412.3625
1967,1539841.5
1968,1460632.325
1969,1452845.775
1970,1402002.8375
1971,1350843.9875
1972,1338414.5875
1973,1254006.5
1974,1193116.1375
1975,1194033.9125
1976,1197841.925
1977,1235809.2125
1978,1276828.325
1979,1254371.35
1980,1226451.8625
1981,1129989.8625
1982,1069102.675
1983,1048563.825
1984,1066146.925
1985,1073129.325
1986,1043618.45
1987,1027517.7875
1988,1000108.4125
1989,960814.4375
1990,1011622.4125
1991,1048522.4125
1992,1044791.3125
1993,1002838.5875
1994,953363.9875
1995,909645.25
1996,878986.1
1997,921896.1
1998,923627
1999,893222.8625
2000,840410.8125
2001,793783.1
2002,786099.15
2003,809116.875
2004,820811.8875
2005,800130.3125
2006,800562.6375
2007,811299.9625
2008,782783.825
2009,740480.75
2010,694967.425
2011,687287.3375
2012,672519.5625
2013,632339.8375
2014,640799.025
2015,675236.6875
2016,691636.325
2017,686800.325
2018,692526
2019,690038.65
2020,676692.025
2021,657472.85
